chart_id,tax_id,tax_name,amount_type,active,type_tax_use,amount,for,factor_percent,repartition_type,code,name,plus_report_line_ids,minus_report_line_ids,description,analytic,price_include,is_base_affected,cash_basis_transition_account_id,tax_exigibility
l10n_hu.hungarian_chart_template,l10n_hu.F27,Fizetendő - 27%,percent,True,sale,27,Invoices,100,base,,,['l10n_hu.tax_report_alap_fiz_afa_27'],,27%,False,False,True,,
l10n_hu.hungarian_chart_template,l10n_hu.F27,Fizetendő - 27%,percent,True,sale,27,Invoices,100,tax,467,Fizetendõ általános forgalmi adó,['l10n_hu.tax_report_fizetndo_27'],,27%,False,False,True,,
l10n_hu.hungarian_chart_template,l10n_hu.F27,Fizetendő - 27%,percent,True,sale,27,Refunds,100,base,,,,['l10n_hu.tax_report_alap_fiz_afa_27'],27%,False,False,True,,
l10n_hu.hungarian_chart_template,l10n_hu.F27,Fizetendő - 27%,percent,True,sale,27,Refunds,100,tax,467,Fizetendõ általános forgalmi adó,,['l10n_hu.tax_report_fizetndo_27'],27%,False,False,True,,
l10n_hu.hungarian_chart_template,l10n_hu.F18,Fizetendő – 18%,percent,True,sale,18,Invoices,100,base,,,['l10n_hu.tax_report_alap_fiz_afa_18'],,18%,False,False,True,,
l10n_hu.hungarian_chart_template,l10n_hu.F18,Fizetendő – 18%,percent,True,sale,18,Invoices,100,tax,467,Fizetendõ általános forgalmi adó,['l10n_hu.tax_report_fizetndo_18'],,18%,False,False,True,,
l10n_hu.hungarian_chart_template,l10n_hu.F18,Fizetendő – 18%,percent,True,sale,18,Refunds,100,base,,,,['l10n_hu.tax_report_alap_fiz_afa_18'],18%,False,False,True,,
l10n_hu.hungarian_chart_template,l10n_hu.F18,Fizetendő – 18%,percent,True,sale,18,Refunds,100,tax,467,Fizetendõ általános forgalmi adó,,['l10n_hu.tax_report_fizetndo_18'],18%,False,False,True,,
l10n_hu.hungarian_chart_template,l10n_hu.F5,Fizetendő – 5%,percent,True,sale,5,Invoices,100,base,,,['l10n_hu.tax_report_alap_fiz_afa_5'],,5%,False,False,True,,
l10n_hu.hungarian_chart_template,l10n_hu.F5,Fizetendő – 5%,percent,True,sale,5,Invoices,100,tax,467,Fizetendõ általános forgalmi adó,['l10n_hu.tax_report_fizetndo_5'],,5%,False,False,True,,
