"id","code","name","reconcile","tag_ids/id","user_type_id/id","chart_template_id/id"
"account_0005","0005","Rückständige fällige Einzahlungen auf Geschäftsanteile","False","l10n_de.tag_de_asset_bs_A_I_2","account.data_account_type_non_current_assets","l10n_de_chart_template"
"account_0010","0010","Entgeltlich erworbene Konzessionen, gewerbliche Schutzrechte und ähnliche Rechte und Werte sowie Lizenzen an solchen Rechten und Werten","False","l10n_de.tag_de_asset_bs_A_I_2","account.data_account_type_non_current_assets","l10n_de_chart_template"
"account_0015","0015","Konzessionen","False","l10n_de.tag_de_asset_bs_A_I_2","account.data_account_type_non_current_assets","l10n_de_chart_template"
"account_0020","0020","Gewerbliche Schutzrechte","False","l10n_de.tag_de_asset_bs_A_I_2","account.data_account_type_non_current_assets","l10n_de_chart_template"
"account_0025","0025","Ähnliche Rechte und Werte","False","l10n_de.tag_de_asset_bs_A_I_2","account.data_account_type_non_current_assets","l10n_de_chart_template"
"account_0027","0027","EDV-Software","False","l10n_de.tag_de_asset_bs_A_I_2","account.data_account_type_non_current_assets","l10n_de_chart_template"
"account_0030","0030","Lizenzen an gewerblichen Schutzrechten","False","l10n_de.tag_de_asset_bs_A_I_2","account.data_account_type_non_current_assets","l10n_de_chart_template"
"account_0035","0035","Geschäfts- oder Firmenwert","False","l10n_de.tag_de_asset_bs_A_I_3","account.data_account_type_non_current_assets","l10n_de_chart_template"
"account_0038","0038","Anzahlungen auf Geschäfts-, Firmenwert","False","l10n_de.tag_de_asset_bs_A_I_4","account.data_account_type_non_current_assets","l10n_de_chart_template"
"account_0039","0039","Anzahlungen immaterielle VermG","False","l10n_de.tag_de_asset_bs_A_I_4","account.data_account_type_non_current_assets","l10n_de_chart_template"
"account_0040","0040","Verschmelzungsmehrwert","False","l10n_de.tag_de_asset_bs_A_I_3","account.data_account_type_non_current_assets","l10n_de_chart_template"
"account_0043","0043","Selbst geschaffene immaterielle Vermögensgegenstände","False","l10n_de.tag_de_asset_bs_A_I_1","account.data_account_type_non_current_assets","l10n_de_chart_template"
"account_0045","0045","Lizenzen und Franchiseverträge","False","l10n_de.tag_de_asset_bs_A_I_1","account.data_account_type_non_current_assets","l10n_de_chart_template"
"account_0046","0046","Konzessionen und gewerbliche Schutzrechte","False","l10n_de.tag_de_asset_bs_A_I_1","account.data_account_type_non_current_assets","l10n_de_chart_template"
"account_0047","0047","Rezepte, Verfahren, Prototypen","False","l10n_de.tag_de_asset_bs_A_I_1","account.data_account_type_non_current_assets","l10n_de_chart_template"
"account_0048","0048","Immaterielle Vermögensgegenstände in Entwicklung","False","l10n_de.tag_de_asset_bs_A_I_1","account.data_account_type_non_current_assets","l10n_de_chart_template"
"account_0050","0050","Grundstücke,grndst.Rechte und Bauten","False","l10n_de.tag_de_asset_bs_A_II_1","account.data_account_type_fixed_assets","l10n_de_chart_template"
"account_0059","0059","Grundstücksanteil häusl. Arbeitszimmer","False","l10n_de.tag_de_asset_bs_A_II_1","account.data_account_type_fixed_assets","l10n_de_chart_template"
"account_0060","0060","Grundstücksgleiche Rechte ohne Bauten","False","l10n_de.tag_de_asset_bs_A_II_1","account.data_account_type_fixed_assets","l10n_de_chart_template"
"account_0065","0065","Unbebaute Grundstücke","False","l10n_de.tag_de_asset_bs_A_II_1","account.data_account_type_fixed_assets","l10n_de_chart_template"
"account_0070","0070","Grundstücksgleiche Rechte","False","l10n_de.tag_de_asset_bs_A_II_1","account.data_account_type_fixed_assets","l10n_de_chart_template"
"account_0075","0075","Grundstücke mit Substanzverzehr","False","l10n_de.tag_de_asset_bs_A_II_1","account.data_account_type_fixed_assets","l10n_de_chart_template"
"account_0079","0079","Anzahlungen a.Grundstücke ohne Bauten","False","l10n_de.tag_de_asset_bs_A_II_4","account.data_account_type_fixed_assets","l10n_de_chart_template"
"account_0080","0080","Bauten auf eigenen Grundstücken","False","l10n_de.tag_de_asset_bs_A_II_1","account.data_account_type_fixed_assets","l10n_de_chart_template"
"account_0085","0085","Grundstückswert bebauter Grundstücke","False","l10n_de.tag_de_asset_bs_A_II_1","account.data_account_type_fixed_assets","l10n_de_chart_template"
"account_0090","0090","Geschäftsbauten","False","l10n_de.tag_de_asset_bs_A_II_1","account.data_account_type_fixed_assets","l10n_de_chart_template"
"account_0100","0100","Fabrikbauten","False","l10n_de.tag_de_asset_bs_A_II_1","account.data_account_type_fixed_assets","l10n_de_chart_template"
"account_0110","0110","Garagen","False","l10n_de.tag_de_asset_bs_A_II_1","account.data_account_type_fixed_assets","l10n_de_chart_template"
"account_0111","0111","Außenanlagen","False","l10n_de.tag_de_asset_bs_A_II_1","account.data_account_type_fixed_assets","l10n_de_chart_template"
"account_0112","0112","Hof- und Wegebefestigungen","False","l10n_de.tag_de_asset_bs_A_II_1","account.data_account_type_fixed_assets","l10n_de_chart_template"
"account_0113","0113","Einrichtung Fabrik- und Geschäftsbauten","False","l10n_de.tag_de_asset_bs_A_II_1","account.data_account_type_fixed_assets","l10n_de_chart_template"
"account_0115","0115","Andere Bauten","False","l10n_de.tag_de_asset_bs_A_II_1","account.data_account_type_fixed_assets","l10n_de_chart_template"
"account_0120","0120","Geschäfts-,Fabrik-u.and. Bauten im Bau","False","l10n_de.tag_de_asset_bs_A_II_4","account.data_account_type_fixed_assets","l10n_de_chart_template"
"account_0129","0129","Anzahlg. auf Bauten eigen. Grundstücken","False","l10n_de.tag_de_asset_bs_A_II_4","account.data_account_type_fixed_assets","l10n_de_chart_template"
"account_0140","0140","Wohnbauten","False","l10n_de.tag_de_asset_bs_A_II_1","account.data_account_type_fixed_assets","l10n_de_chart_template"
"account_0145","0145","Garagen","False","l10n_de.tag_de_asset_bs_A_II_1","account.data_account_type_fixed_assets","l10n_de_chart_template"
"account_0146","0146","Außenanlagen","False","l10n_de.tag_de_asset_bs_A_II_1","account.data_account_type_fixed_assets","l10n_de_chart_template"
"account_0147","0147","Hof- und Wegebefestigungen","False","l10n_de.tag_de_asset_bs_A_II_1","account.data_account_type_fixed_assets","l10n_de_chart_template"
"account_0148","0148","Einrichtungen für Wohnbauten","False","l10n_de.tag_de_asset_bs_A_II_1","account.data_account_type_fixed_assets","l10n_de_chart_template"
"account_0149","0149","Gebäudeteil häusliches Arbeitszimmer","False","l10n_de.tag_de_asset_bs_A_II_1","account.data_account_type_fixed_assets","l10n_de_chart_template"
"account_0150","0150","Wohnbauten im Bau","False","l10n_de.tag_de_asset_bs_A_II_4","account.data_account_type_fixed_assets","l10n_de_chart_template"
"account_0159","0159","Anzahlg. auf Wohnbauten a.eig.Grundst","False","l10n_de.tag_de_asset_bs_A_II_4","account.data_account_type_fixed_assets","l10n_de_chart_template"
"account_0160","0160","Bauten auf fremden Grundstücken","False","l10n_de.tag_de_asset_bs_A_II_1","account.data_account_type_fixed_assets","l10n_de_chart_template"
"account_0165","0165","Geschäftsbauten","False","l10n_de.tag_de_asset_bs_A_II_1","account.data_account_type_fixed_assets","l10n_de_chart_template"
"account_0170","0170","Fabrikbauten","False","l10n_de.tag_de_asset_bs_A_II_1","account.data_account_type_fixed_assets","l10n_de_chart_template"
"account_0175","0175","Garagen","False","l10n_de.tag_de_asset_bs_A_II_1","account.data_account_type_fixed_assets","l10n_de_chart_template"
"account_0176","0176","Außenanlagen","False","l10n_de.tag_de_asset_bs_A_II_1","account.data_account_type_fixed_assets","l10n_de_chart_template"
"account_0177","0177","Hof- und Wegebefestigungen","False","l10n_de.tag_de_asset_bs_A_II_1","account.data_account_type_fixed_assets","l10n_de_chart_template"
"account_0178","0178","Einrichtung Fabrik- und Geschäftsbauten","False","l10n_de.tag_de_asset_bs_A_II_1","account.data_account_type_fixed_assets","l10n_de_chart_template"
"account_0179","0179","Andere Bauten","False","l10n_de.tag_de_asset_bs_A_II_1","account.data_account_type_fixed_assets","l10n_de_chart_template"
"account_0180","0180","Geschäfts-,Fabrik-u.and. Bauten im Bau","False","l10n_de.tag_de_asset_bs_A_II_4","account.data_account_type_fixed_assets","l10n_de_chart_template"
"account_0189","0189","Anzahlg. auf Bauten fremd. Grundstücken","False","l10n_de.tag_de_asset_bs_A_II_4","account.data_account_type_fixed_assets","l10n_de_chart_template"
"account_0190","0190","Wohnbauten","False","l10n_de.tag_de_asset_bs_A_II_1","account.data_account_type_fixed_assets","l10n_de_chart_template"
"account_0191","0191","Garagen","False","l10n_de.tag_de_asset_bs_A_II_1","account.data_account_type_fixed_assets","l10n_de_chart_template"
"account_0192","0192","Außenanlagen","False","l10n_de.tag_de_asset_bs_A_II_1","account.data_account_type_fixed_assets","l10n_de_chart_template"
"account_0193","0193","Hof- und Wegebefestigungen","False","l10n_de.tag_de_asset_bs_A_II_1","account.data_account_type_fixed_assets","l10n_de_chart_template"
"account_0194","0194","Einrichtungen für Wohnbauten","False","l10n_de.tag_de_asset_bs_A_II_1","account.data_account_type_fixed_assets","l10n_de_chart_template"
"account_0195","0195","Wohnbauten im Bau","False","l10n_de.tag_de_asset_bs_A_II_4","account.data_account_type_fixed_assets","l10n_de_chart_template"
"account_0199","0199","Anzahlungen a. Wohnbauten a. fremd. Gr.","False","l10n_de.tag_de_asset_bs_A_II_4","account.data_account_type_fixed_assets","l10n_de_chart_template"
"account_0200","0200","Technische Anlagen und Maschinen","False","l10n_de.tag_de_asset_bs_A_II_2","account.data_account_type_fixed_assets","l10n_de_chart_template"
"account_0210","0210","Maschinen","False","l10n_de.tag_de_asset_bs_A_II_2","account.data_account_type_fixed_assets","l10n_de_chart_template"
"account_0220","0220","Maschinengebundene Werkzeuge","False","l10n_de.tag_de_asset_bs_A_II_2","account.data_account_type_fixed_assets","l10n_de_chart_template"
"account_0240","0240","Maschinelle Anlagen","False","l10n_de.tag_de_asset_bs_A_II_2","account.data_account_type_fixed_assets","l10n_de_chart_template"
"account_0260","0260","Transportanlagen und Ähnliches","False","l10n_de.tag_de_asset_bs_A_II_2","account.data_account_type_fixed_assets","l10n_de_chart_template"
"account_0280","0280","Betriebsvorrichtungen","False","l10n_de.tag_de_asset_bs_A_II_2","account.data_account_type_fixed_assets","l10n_de_chart_template"
"account_0290","0290","Technische Anlagen und Maschinen im Bau","False","l10n_de.tag_de_asset_bs_A_II_4","account.data_account_type_fixed_assets","l10n_de_chart_template"
"account_0299","0299","Anzahlungen auf technische Anlagen","False","l10n_de.tag_de_asset_bs_A_II_4","account.data_account_type_fixed_assets","l10n_de_chart_template"
"account_0300","0300","Betriebs- und Geschäftsausstattung","False","l10n_de.tag_de_asset_bs_A_II_3","account.data_account_type_fixed_assets","l10n_de_chart_template"
"account_0310","0310","Andere Anlagen","False","l10n_de.tag_de_asset_bs_A_II_3","account.data_account_type_fixed_assets","l10n_de_chart_template"
"account_0320","0320","PKW","False","l10n_de.tag_de_asset_bs_A_II_3","account.data_account_type_fixed_assets","l10n_de_chart_template"
"account_0350","0350","LKW","False","l10n_de.tag_de_asset_bs_A_II_3","account.data_account_type_fixed_assets","l10n_de_chart_template"
"account_0380","0380","Sonstige Transportmittel","False","l10n_de.tag_de_asset_bs_A_II_3","account.data_account_type_fixed_assets","l10n_de_chart_template"
"account_0400","0400","Betriebsausstattung","False","l10n_de.tag_de_asset_bs_A_II_3","account.data_account_type_fixed_assets","l10n_de_chart_template"
"account_0410","0410","Geschäftsausstattung","False","l10n_de.tag_de_asset_bs_A_II_3","account.data_account_type_fixed_assets","l10n_de_chart_template"
"account_0420","0420","Büroeinrichtung","False","l10n_de.tag_de_asset_bs_A_II_3","account.data_account_type_fixed_assets","l10n_de_chart_template"
"account_0430","0430","Ladeneinrichtung","False","l10n_de.tag_de_asset_bs_A_II_3","account.data_account_type_fixed_assets","l10n_de_chart_template"
"account_0440","0440","Werkzeuge","False","l10n_de.tag_de_asset_bs_A_II_3","account.data_account_type_fixed_assets","l10n_de_chart_template"
"account_0450","0450","Einbauten","False","l10n_de.tag_de_asset_bs_A_II_3","account.data_account_type_fixed_assets","l10n_de_chart_template"
"account_0460","0460","Gerüst- und Schalungsmaterial","False","l10n_de.tag_de_asset_bs_A_II_3","account.data_account_type_fixed_assets","l10n_de_chart_template"
"account_0480","0480","Geringwertige Wirtschaftsgüter","False","l10n_de.tag_de_asset_bs_A_II_3","account.data_account_type_fixed_assets","l10n_de_chart_template"
"account_0485","0485","Geringwertige WG Sammelposten","False","l10n_de.tag_de_asset_bs_A_II_3","account.data_account_type_fixed_assets","l10n_de_chart_template"
