"id","name","code","account_type","reconcile"
"1000000","Sales","1000000","income","False"
"2000000","Cost of Sales / Purchases","2000000","expense_direct_cost","False"
"2100000","Inventory Adjustment","2100000","expense_direct_cost","False"
"2150000","Inventory Count Variance","2150000","expense_direct_cost","False"
"2200000","Purchase Variance","2200000","expense_direct_cost","False"
"2400000","Recovery Account","2400000","expense_direct_cost","False"
"2400010","Labour Cost Manufacturing Variance","2400010","expense_direct_cost","False"
"2400020","Direct Cost Manufacturing Variance","2400020","expense_direct_cost","False"
"2400030","Other Cost Manufacturing Variance","2400030","expense_direct_cost","False"
"2700000","Discount Received for Cash","2700000","income_other","False"
"2750000","Interest Received","2750000","income_other","False"
"2800000","Profit/Loss on Sale of Non Current Assets","2800000","income_other","False"
"2850000","Bad Debts Recovered","2850000","income_other","False"
"2900000","Sundry Income","2900000","income_other","False"
"3000000","Accounting Fees","3000000","expense","False"
"3050000","Advertising & Promotions","3050000","expense","False"
"3150000","Bad Debts","3150000","expense","False"
"3200000","Bank Charges","3200000","expense","False"
"3250000","Cleaning","3250000","expense","False"
"3300000","Computer Expenses","3300000","expense","False"
"3350000","Consulting Fees","3350000","expense","False"
"3400000","Courier & Postage","3400000","expense","False"
"3450000","Depreciation","3450000","expense","False"
"3550000","Discount Allowed for Cash","3550000","expense","False"
"3600000","Donations","3600000","expense","False"
"3650000","Electricity & Water","3650000","expense","False"
"3700000","Entertainment Expenses","3700000","expense","False"
"3750000","Finance Charges","3750000","expense","False"
"3800000","General Expenses","3800000","expense","False"
"3850000","Insurance","3850000","expense","False"
"3900000","Interest Paid","3900000","expense","False"
"3950000","Leasing Charges","3950000","expense","False"
"4000000","Legal Fees","4000000","expense","False"
"4050000","Levies","4050000","expense","False"
"4150000","Motor Vehicle Expenses","4150000","expense","False"
"4200000","Printing & Stationery","4200000","expense","False"
"4210000","Profit/Loss on foreign exchange","4210000","expense","False"
"4300000","Rent Paid","4300000","expense","False"
"4350000","Repairs & Maintenance","4350000","expense","False"
"4400000","Salaries & Wages","4400000","expense","False"
"4450000","Staff Training","4450000","expense","False"
"4500000","Staff Welfare","4500000","expense","False"
"4550000","Subscriptions","4550000","expense","False"
"4600000","Telephone & Fax","4600000","expense","False"
"4650000","Travel & Accommodation","4650000","expense","False"
"5200000","Retained Income / (Accumulated Loss)","5200000","liability_current","False"
"5500000","Long Term Liabilities","5500000","liability_non_current","False"
"5600000","Instalment Sale Creditors Other","5600000","liability_non_current","False"
"6100000","Land & Buildings - Net Value","6100000","asset_fixed","False"
"6100010","Land & Buildings - At Cost","6100010","asset_fixed","False"
"6100020","Land & Buildings - Accum Depre","6100020","asset_fixed","False"
"6200000","Motor Vehicles - Net Value","6200000","asset_fixed","False"
"6200010","Motor Vehicles - At Cost","6200010","asset_fixed","False"
"6200020","Motor Vehicles - Accum Depre","6200020","asset_fixed","False"
"6250000","Computer Equipment - Net Value","6250000","asset_fixed","False"
"6250010","Computer Equipment - At Cost","6250010","asset_fixed","False"
"6250020","Computer Equipment - Accum Depre","6250020","asset_fixed","False"
"6300000","Office Equipment - Net Value","6300000","asset_fixed","False"
"6300010","Office Equipment - At Cost","6300010","asset_fixed","False"
"6300020","Office Equipment - Accum Depre","6300020","asset_fixed","False"
"6350000","Furniture & Fittings - Net value","6350000","asset_fixed","False"
"6350010","Furniture & Fittings - At Cost","6350010","asset_fixed","False"
"6350020","Furniture & Fittings - Accum Depre","6350020","asset_fixed","False"
"6600000","Other Fixed Assets - Net Value","6600000","asset_fixed","False"
"6600010","Other Fixed Assets - At Cost","6600010","asset_fixed","False"
"6600020","Other Fixed Assets - Accum Depre","6600020","asset_fixed","False"
"7000000","Goodwill / Other Intangible Assets","7000000","asset_fixed","False"
"7100000","Investments","7100000","asset_current","False"
"7700000","Inventory Control Account","7700000","liability_current","False"
"8000000","Customer Account","8000000","asset_receivable","True"
"8100000","POS Cash Control","8100000","liability_current","False"
"8200000","Sundry Customers","8200000","liability_current","False"
"8300000","VAT Purchase Tax Control Account","8300000","liability_current","False"
"8400000","Bank","8400000","asset_cash","False"
"8400001","Outstanding Receipts","8400001","asset_current","False"
"8400002","Outstanding Payments","8400002","asset_current","False"
"8900000","Deferred Expenses","8900000","asset_current","True"
"9000000","Supplier Account","9000000","liability_payable","True"
"9100000","GRN Accrual Account","9100000","liability_payable","True"
"9200000","Sundry Suppliers","9200000","liability_current","False"
"9400000","Provision for Future Expenses","9400000","liability_current","False"
"9400010","Provision for Insurance","9400010","liability_current","False"
"9400020","Provision for Salary Bonus","9400020","liability_current","False"
"9500000","VAT Sales Tax Control Account","9500000","liability_current","False"
"9510000","Vat / Tax Provision Account","9510000","liability_payable","True"
"9900000","Deferred Income","9900000","liability_current","True"
"9990000","Suspense Account","9990000","asset_current","False"
"999999","Undistributed Profits/Losses","999999","equity_unaffected","False"
