"id","code","name","user_type_id/id","reconcile","chart_template_id/id"
"account_receivable","12001","Account Receivable","account.data_account_type_receivable","TRUE","l10n_us.account_chart_template_basic"
"15000","15000","Furniture and Equipment","account.data_account_type_fixed_assets","FALSE","l10n_us.account_chart_template_basic"
"17000","17000","Accumulated Depreciation","account.data_account_type_current_assets","FALSE","l10n_us.account_chart_template_basic"
"account_payable","20001","Account Payable","account.data_account_type_payable","TRUE","l10n_us.account_chart_template_basic"
"24000","24000","Payroll Liabilities","account.data_account_type_current_liabilities","FALSE","l10n_us.account_chart_template_basic"
"25500","25500","Sales Tax Payable","account.data_account_type_current_liabilities","FALSE","l10n_us.account_chart_template_basic"
"26500","26500","Use Tax Payable","account.data_account_type_current_liabilities","FALSE","l10n_us.account_chart_template_basic"
"30100","30100","Capital Stock","account.data_account_type_equity","FALSE","l10n_us.account_chart_template_basic"
"30200","30200","Dividends Paid","account.data_account_type_equity","FALSE","l10n_us.account_chart_template_basic"
"30000","30000","Opening Balance Equity","account.data_account_type_equity","FALSE","l10n_us.account_chart_template_basic"
"32000","32000","Retained Earnings","account.data_account_type_equity","FALSE","l10n_us.account_chart_template_basic"
"60000","60000","Advertising and Promotion","account.data_account_type_expenses","FALSE","l10n_us.account_chart_template_basic"
"60200","60200","Automobile Expense","account.data_account_type_expenses","FALSE","l10n_us.account_chart_template_basic"
"60400","60400","Bank Service Charges","account.data_account_type_expenses","FALSE","l10n_us.account_chart_template_basic"
"61000","61000","Business Licenses and Permits","account.data_account_type_expenses","FALSE","l10n_us.account_chart_template_basic"
"62000_financial_services","62000","Continuing Education","account.data_account_type_expenses","FALSE","l10n_us.account_chart_template_basic"
"61400","61400","Charitable Contributions","account.data_account_type_expenses","FALSE","l10n_us.account_chart_template_basic"
"61700","61700","Computer and Internet Expenses","account.data_account_type_expenses","FALSE","l10n_us.account_chart_template_basic"
"62400","62400","Depreciation Expense","account.data_account_type_expenses","FALSE","l10n_us.account_chart_template_basic"
"62500","62500","Dues and Subscriptions","account.data_account_type_expenses","FALSE","l10n_us.account_chart_template_basic"
"62600","62600","Equipment Rental","account.data_account_type_expenses","FALSE","l10n_us.account_chart_template_basic"
"63500","63500","Janitorial Expense","account.data_account_type_expenses","FALSE","l10n_us.account_chart_template_advertising"
"63310","63310","General Liability Insurance","account.data_account_type_expenses","FALSE","l10n_us.account_chart_template_basic"
"63320","63320","Health Insurance","account.data_account_type_expenses","FALSE","l10n_us.account_chart_template_basic"
"63330","63330","Life and Disability Insurance","account.data_account_type_expenses","FALSE","l10n_us.account_chart_template_basic"
"63350","63350","Professional Liability","account.data_account_type_expenses","FALSE","l10n_us.account_chart_template_basic"
"63360","63360","Worker's Compensation","account.data_account_type_expenses","FALSE","l10n_us.account_chart_template_basic"
"63400","63400","Interest Expense","account.data_account_type_expenses","FALSE","l10n_us.account_chart_template_basic"
"64300","64300","Meals and Entertainment","account.data_account_type_expenses","FALSE","l10n_us.account_chart_template_basic"
"64700","64700","Miscellaneous Expense","account.data_account_type_expenses","FALSE","l10n_us.account_chart_template_basic"
"64900","64900","Office Supplies","account.data_account_type_expenses","FALSE","l10n_us.account_chart_template_basic"
"66000","66000","Payroll Expenses","account.data_account_type_expenses","FALSE","l10n_us.account_chart_template_basic"
"66500","66500","Postage and Delivery","account.data_account_type_expenses","FALSE","l10n_us.account_chart_template_basic"
"66660_financial_services","66600","Printing and Reproduction","account.data_account_type_expenses","FALSE","l10n_us.account_chart_template_basic"
"66700","66700","Professional Fees","account.data_account_type_expenses","FALSE","l10n_us.account_chart_template_basic"
"67100","67100","Rent Expense","account.data_account_type_expenses","FALSE","l10n_us.account_chart_template_basic"
"67200","67200","Repairs and Maintenance","account.data_account_type_expenses","FALSE","l10n_us.account_chart_template_basic"
"68000","68000","Taxes - Property","account.data_account_type_expenses","FALSE","l10n_us.account_chart_template_basic"
"68100","68100","Telephone Expense","account.data_account_type_expenses","FALSE","l10n_us.account_chart_template_basic"
"68400","68400","Travel Expense","account.data_account_type_expenses","FALSE","l10n_us.account_chart_template_basic"
"68600","68600","Utilities","account.data_account_type_expenses","FALSE","l10n_us.account_chart_template_basic"
"70000_advertising","70000","Finance Charge Income","account.data_account_type_other_income","FALSE","l10n_us.account_chart_template_basic"
"70200","70200","Interest Income","account.data_account_type_other_income","FALSE","l10n_us.account_chart_template_basic"
"70500","70500","Proceeds from Sale of Assets","account.data_account_type_other_income","FALSE","l10n_us.account_chart_template_basic"
"70100_advertising","70100","Insurance Proceeds Received","account.data_account_type_other_income","FALSE","l10n_us.account_chart_template_basic"
"53600_construction_trades","53600","Other Job Related Costs","account.data_account_type_expenses","FALSE","l10n_us.account_chart_template_cogs"
"42400_advertising","42400","Commission income","account.data_account_type_revenue","FALSE","l10n_us.account_chart_template_advertising"
"48300_advertising","48300","Sales Discounts","account.data_account_type_revenue","FALSE","l10n_us.account_chart_template_advertising"
"50300_advertising","50300","Commissions Paid","account.data_account_type_expenses","FALSE","l10n_us.account_chart_template_advertising"
"51700_advertising","51700","Media Purchased for Clients","account.data_account_type_expenses","FALSE","l10n_us.account_chart_template_advertising"
"51800_advertising","51800","Merchant Account Fees","account.data_account_type_expenses","FALSE","l10n_us.account_chart_template_advertising"
"53500_advertising","53500","Subcontracted Services","account.data_account_type_expenses","FALSE","l10n_us.account_chart_template_advertising"
"64200_advertising","64200","Marketing Expense","account.data_account_type_expenses","FALSE","l10n_us.account_chart_template_advertising"
"41200_agriculture","41200","Agricultural Program Payments","account.data_account_type_revenue","FALSE","l10n_us.account_chart_template_agriculture"
"42500_agriculture","42500","Commodity Credit Loans","account.data_account_type_revenue","FALSE","l10n_us.account_chart_template_agriculture"
"42800_agriculture","42800","Cooperative Distributions","account.data_account_type_revenue","FALSE","l10n_us.account_chart_template_agriculture"
"42900_agriculture","42900","Crop Insurance Proceeds","account.data_account_type_revenue","FALSE","l10n_us.account_chart_template_agriculture"
"43000_agriculture","43000","Crop Sales","account.data_account_type_revenue","FALSE","l10n_us.account_chart_template_agriculture"
"43100_agriculture","43100","Custom Hire Income","account.data_account_type_revenue","FALSE","l10n_us.account_chart_template_agriculture"
"43600_agriculture","43600","Farmers Market Sales","account.data_account_type_revenue","FALSE","l10n_us.account_chart_template_agriculture"
"44100_agriculture","44100","Fuel Tax Credits and Other Inc.","account.data_account_type_revenue","FALSE","l10n_us.account_chart_template_agriculture"
"45500_agriculture","45500","Livestock Sales","account.data_account_type_revenue","FALSE","l10n_us.account_chart_template_agriculture"
"47400_agriculture","47400","Rental Income","account.data_account_type_revenue","FALSE","l10n_us.account_chart_template_agriculture"
"61100_agriculture","61100","Car and Truck Expenses","account.data_account_type_expenses","FALSE","l10n_us.account_chart_template_agriculture"
"61500_agriculture","61500","Chemicals Purchased","account.data_account_type_expenses","FALSE","l10n_us.account_chart_template_agriculture"
"61900_agriculture","61900","Conservation Expenses","account.data_account_type_expenses","FALSE","l10n_us.account_chart_template_agriculture"
"62300_agriculture","62300","Custom Hire and Contract Labor","account.data_account_type_expenses","FALSE","l10n_us.account_chart_template_agriculture"
"62900_agriculture","62900","Feed Purchased","account.data_account_type_expenses","FALSE","l10n_us.account_chart_template_agriculture"
"63000_agriculture","63000","Fertilizers and Lime","account.data_account_type_expenses","FALSE","l10n_us.account_chart_template_agriculture"
"63100_agriculture","63100","Freight and Trucking","account.data_account_type_expenses","FALSE","l10n_us.account_chart_template_agriculture"
"63200_agriculture","63200","Gasoline, Fuel and Oil","account.data_account_type_expenses","FALSE","l10n_us.account_chart_template_agriculture"
"67500_agriculture","67500","Seeds and Plants Purchased","account.data_account_type_expenses","FALSE","l10n_us.account_chart_template_agriculture"
"67800_agriculture","67800","Small Tools and Equipment","account.data_account_type_expenses","FALSE","l10n_us.account_chart_template_agriculture"
"67900_agriculture","67900","Storage and Warehousing","account.data_account_type_expenses","FALSE","l10n_us.account_chart_template_agriculture"
